Model name: 1605995180.9348865reward-med-game-score-10k
Extra information: reward = reward*game_score
Timestamp: 2020-11-21 22:46:23.049156
Game Rounds Score Epsilon ClearedLines
395 25 15 0.9605000000000044 1
396 23 12 0.9604000000000044 0
397 22 11 0.9603000000000044 0
398 22 11 0.9602000000000044 0
399 16 5 0.9601000000000044 0
400 21 10 0.9600000000000044 0
401 20 9 0.9599000000000044 0
402 24 13 0.9598000000000044 0
403 15 4 0.9597000000000044 0
404 14 3 0.9596000000000044 0
405 19 8 0.9595000000000045 0
406 24 13 0.9594000000000045 0
407 14 3 0.9593000000000045 0
408 17 6 0.9592000000000045 0
409 20 9 0.9591000000000045 0
410 22 11 0.9590000000000045 0
411 17 6 0.9589000000000045 0
412 22 11 0.9588000000000045 0
413 24 13 0.9587000000000045 0
414 21 10 0.9586000000000046 0
415 21 10 0.9585000000000046 0
416 26 15 0.9584000000000046 0
417 20 9 0.9583000000000046 0
418 21 11 0.9582000000000046 1
419 22 11 0.9581000000000046 0
420 21 10 0.9580000000000046 0
421 22 11 0.9579000000000046 0
422 18 7 0.9578000000000046 0
423 26 15 0.9577000000000047 0
424 20 9 0.9576000000000047 0
425 24 13 0.9575000000000047 0
426 16 5 0.9574000000000047 0
427 23 12 0.9573000000000047 0
428 16 5 0.9572000000000047 0
429 17 6 0.9571000000000047 0
430 19 8 0.9570000000000047 0
431 18 7 0.9569000000000047 0
432 21 10 0.9568000000000048 0
433 17 6 0.9567000000000048 0
434 17 6 0.9566000000000048 0
435 23 12 0.9565000000000048 0
436 16 5 0.9564000000000048 0
437 18 7 0.9563000000000048 0
438 21 10 0.9562000000000048 0
439 21 10 0.9561000000000048 0
440 20 9 0.9560000000000048 0
441 27 16 0.9559000000000049 0
442 22 11 0.9558000000000049 0
443 23 12 0.9557000000000049 0
444 22 11 0.9556000000000049 0
445 17 6 0.9555000000000049 0
446 23 12 0.9554000000000049 0
447 19 8 0.9553000000000049 0
448 18 7 0.9552000000000049 0
449 21 10 0.955100000000005 0
450 17 6 0.955000000000005 0
451 19 8 0.954900000000005 0
452 23 12 0.954800000000005 0
453 23 12 0.954700000000005 0
454 22 11 0.954600000000005 0
455 21 10 0.954500000000005 0
456 19 8 0.954400000000005 0
457 16 5 0.954300000000005 0
458 20 9 0.954200000000005 0
459 16 5 0.954100000000005 0
460 18 7 0.9540000000000051 0
461 15 4 0.9539000000000051 0
462 20 9 0.9538000000000051 0
463 20 9 0.9537000000000051 0
464 16 5 0.9536000000000051 0
465 18 7 0.9535000000000051 0
466 22 11 0.9534000000000051 0
467 17 6 0.9533000000000051 0
468 20 9 0.9532000000000052 0
469 21 10 0.9531000000000052 0
470 22 12 0.9530000000000052 1
471 25 14 0.9529000000000052 0
472 14 3 0.9528000000000052 0
473 23 12 0.9527000000000052 0
474 27 16 0.9526000000000052 0
475 25 14 0.9525000000000052 0
476 23 12 0.9524000000000052 0
477 21 10 0.9523000000000053 0
478 17 6 0.9522000000000053 0
479 23 12 0.9521000000000053 0
480 16 5 0.9520000000000053 0
481 18 7 0.9519000000000053 0
482 22 11 0.9518000000000053 0
483 16 5 0.9517000000000053 0
484 23 12 0.9516000000000053 0
485 23 12 0.9515000000000053 0
486 22 11 0.9514000000000054 0
487 16 5 0.9513000000000054 0
488 25 14 0.9512000000000054 0
489 22 11 0.9511000000000054 0
490 20 9 0.9510000000000054 0
491 15 4 0.9509000000000054 0
492 16 5 0.9508000000000054 0
493 17 6 0.9507000000000054 0
494 18 7 0.9506000000000054 0
495 18 7 0.9505000000000055 0
496 20 10 0.9504000000000055 1
497 21 10 0.9503000000000055 0
498 18 7 0.9502000000000055 0
499 23 12 0.9501000000000055 0
500 20 9 0.9500000000000055 0
501 20 9 0.9499000000000055 0
502 14 3 0.9498000000000055 0
503 13 2 0.9497000000000055 0
504 19 9 0.9496000000000056 1
505 24 13 0.9495000000000056 0
506 21 10 0.9494000000000056 0
507 22 11 0.9493000000000056 0
508 27 16 0.9492000000000056 0
509 20 9 0.9491000000000056 0
510 19 8 0.9490000000000056 0
511 18 7 0.9489000000000056 0
512 17 6 0.9488000000000056 0
513 20 9 0.9487000000000056 0
514 18 7 0.9486000000000057 0
515 24 13 0.9485000000000057 0
516 23 12 0.9484000000000057 0
517 20 9 0.9483000000000057 0
518 13 2 0.9482000000000057 0
519 17 6 0.9481000000000057 0
520 23 12 0.9480000000000057 0
521 19 8 0.9479000000000057 0
522 21 10 0.9478000000000057 0
523 24 14 0.9477000000000058 1
524 23 13 0.9476000000000058 1
525 20 9 0.9475000000000058 0
526 20 9 0.9474000000000058 0
527 21 10 0.9473000000000058 0
528 22 11 0.9472000000000058 0
529 17 6 0.9471000000000058 0
530 24 13 0.9470000000000058 0
531 20 9 0.9469000000000058 0
532 18 7 0.9468000000000059 0
533 16 5 0.9467000000000059 0
534 22 11 0.9466000000000059 0
535 25 14 0.9465000000000059 0
536 27 16 0.9464000000000059 0
537 20 9 0.9463000000000059 0
538 17 6 0.9462000000000059 0
539 21 10 0.9461000000000059 0
540 13 2 0.946000000000006 0
541 18 7 0.945900000000006 0
542 25 14 0.945800000000006 0
543 20 9 0.945700000000006 0
544 22 11 0.945600000000006 0
545 22 11 0.945500000000006 0
546 21 10 0.945400000000006 0
547 21 10 0.945300000000006 0
548 23 12 0.945200000000006 0
549 25 14 0.945100000000006 0
550 18 7 0.9450000000000061 0
551 20 9 0.9449000000000061 0
552 19 8 0.9448000000000061 0
553 17 6 0.9447000000000061 0
554 23 12 0.9446000000000061 0
555 17 6 0.9445000000000061 0
556 14 3 0.9444000000000061 0
557 17 6 0.9443000000000061 0
558 21 10 0.9442000000000061 0
559 17 6 0.9441000000000062 0
560 21 10 0.9440000000000062 0
561 14 3 0.9439000000000062 0
562 21 10 0.9438000000000062 0
563 19 8 0.9437000000000062 0
564 19 8 0.9436000000000062 0
565 22 11 0.9435000000000062 0
566 23 12 0.9434000000000062 0
567 23 12 0.9433000000000062 0
568 24 13 0.9432000000000063 0
569 17 6 0.9431000000000063 0
570 17 6 0.9430000000000063 0
571 25 14 0.9429000000000063 0
572 17 6 0.9428000000000063 0
573 19 8 0.9427000000000063 0
574 22 11 0.9426000000000063 0
575 18 7 0.9425000000000063 0
576 22 11 0.9424000000000063 0
577 24 13 0.9423000000000064 0
578 23 12 0.9422000000000064 0
579 24 13 0.9421000000000064 0
580 27 16 0.9420000000000064 0
581 19 8 0.9419000000000064 0
582 25 14 0.9418000000000064 0
583 23 12 0.9417000000000064 0
584 19 8 0.9416000000000064 0
585 21 10 0.9415000000000064 0
586 21 10 0.9414000000000065 0
587 16 5 0.9413000000000065 0
588 22 11 0.9412000000000065 0
589 18 7 0.9411000000000065 0
590 18 7 0.9410000000000065 0
591 22 12 0.9409000000000065 1
592 22 11 0.9408000000000065 0
593 19 8 0.9407000000000065 0
594 25 14 0.9406000000000065 0
595 21 10 0.9405000000000066 0
596 22 11 0.9404000000000066 0
597 19 8 0.9403000000000066 0
598 20 9 0.9402000000000066 0
599 19 8 0.9401000000000066 0
600 20 9 0.9400000000000066 0
601 14 3 0.9399000000000066 0
602 22 11 0.9398000000000066 0
603 24 14 0.9397000000000066 1
604 19 8 0.9396000000000067 0
605 22 11 0.9395000000000067 0
606 19 8 0.9394000000000067 0
607 27 16 0.9393000000000067 0
608 18 7 0.9392000000000067 0
609 22 11 0.9391000000000067 0
610 18 7 0.9390000000000067 0
611 25 14 0.9389000000000067 0
612 14 3 0.9388000000000067 0
613 19 8 0.9387000000000068 0
614 25 14 0.9386000000000068 0
615 19 8 0.9385000000000068 0
616 16 5 0.9384000000000068 0
617 19 8 0.9383000000000068 0
618 14 3 0.9382000000000068 0
619 23 12 0.9381000000000068 0
620 22 11 0.9380000000000068 0
621 27 16 0.9379000000000068 0
622 16 5 0.9378000000000069 0
623 19 8 0.9377000000000069 0
624 22 11 0.9376000000000069 0
625 21 10 0.9375000000000069 0
626 21 10 0.9374000000000069 0
627 25 14 0.9373000000000069 0
628 21 10 0.9372000000000069 0
